Empresa,Relato_Lematizao_SW
Nubank,"['prezar', 'conforme', 'comunicar', 'superendividamento', 'enviar', 'demanda', 'venho', 'através', 'formalizar', 'solicitação', 'renegociação', 'dívida', 'diretamente', 'procon', 'bacen', 'vez', 'obtiver', 'êxito', 'nenhum', 'conversa', 'via', 'telefone', 'agência', 'onde', 'somente', 'oferecer', 'valor', 'condição', 'algum', 'pagar', 'diante', 'cenário', 'superendividamento', 'saber', 'banco', 'tender', 'pedir', 'procon', 'recuse', 'tal', 'demanda', 'pedido', 'seguir', 'exato', 'recomendação', 'molde', 'código', 'defesa', 'consumidor', 'atualizar', 'lei', 'artigo', '.', 'competir', 'concorrente', 'facultativamente', 'órgão', 'público', 'integrante', 'sistema', 'nacional', 'defesa', 'consumidor', 'fase', 'preventivo', 'processo', 'repactuação', 'dívida', 'molde', 'art', '.', 'código', '.', 'reforço', 'nenhum', 'proposta', 'ofereçar', 'pagar', 'pouco', 'tomei', 'emprestar', 'devir', 'correção', 'ciente', 'obrigação', 'pagar', 'principal', 'emprestado', 'nenhum', 'momento', 'intenção', 'premeditar', 'calote', 'agir', 'má', 'fé', 'todo', 'momento', 'venho', 'reforçar', 'através', 'ato', 'prático', 'bom', 'fé', 'intenção', 'negociar', 'forma', 'consiga', 'pagar', 'obrigação', 'moradia', 'alimentação', 'saúde', 'transporte', 'honrar', 'obrigação', 'financeiro', 'fazer', 'exatamente', 'buscar', 'justiça', 'acreditar', 'verdadeiramente', 'senhor', 'avaliar', 'fato', 'disposto', 'negociar', 'fase', 'conciliatório', 'superendividamento', '.', 'esclarecer', 'valor', 'cobrar', 'empréstimo', 'r', 'cartão', 'crédito', 'r', 'ofereço', 'proposta', 'quitar', 'dívida', 'valor', 'r', 'pagar', 'vista', 'parcelar', 'r', 'comprometer', 'manutenção', 'item', 'básico', 'família', 'acordo', 'todo', 'credor', '.', 'coloco', 'disposição', 'receber', 'contraproposta', 'fato', 'assumir', 'valor', 'acima', 'proposto', 'informei', 'comunicado', 'anterior', 'hoje', 'inferior', 'constar', 'registrar', '.', 'caso', 'necessário', 'poder', 'enviar', 'comprovante', 'pagamento', 'rendimento', 'mensal', 'junto', 'comprovação', 'todo', 'movimentação', 'financeiro', 'onde', 'pagar', 'necessidade', 'básico', 'relação', 'todo', 'dívida', 'garantia', 'garantia', 'descritivo', 'detalhar', 'despesa', 'essencial', 'mensal', 'desde', 'constatar', 'situação', 'superendividamento', 'todo', 'movimentação', 'único', 'conta', 'modo', 'encaminhar', 'pedido', 'encaminhar', 'todo', 'credor', 'outro', 'instituição', 'absolutamente', 'nada', 'esconder', 'ocultar', '.', 'certo', 'cooperação', 'instituição', 'papel', 'prevenção', 'tratamento', 'superendividamento', 'aguardo', 'retorno', 'escrito', 'fim', 'manter', 'registro', 'interação', '.', 'data', 'nome', 'bruno']"
Banco Bradesco,"['entrar', 'contato', 'referente', 'solicitação', 'via', 'contrato', '.', 'diversos', 'vez', 'venho', 'solicitar', 'empresa', 'enviar', '.', 'empresa', 'alegar', 'enviar', 'email', 'momento', 'recebir', '.']"
Nubank,"['abuso', 'juro', 'conseguir', 'fazer', 'acordo']"
Banco Inter (Banco Intermedium),"['ah', 'tempo', 'atrás', 'dívida', 'banco', 'empresa', 'terceirizar', 'entrar', 'contato', 'quitar', 'empresa', 'conseguir', 'mandar', 'carta', 'quitação', 'nome', 'constar', 'prejuízo', 'src']"
Caixa Econômica Federal,"['consultar', 'relatorio', 'registrato', 'constar', 'coluna', 'prejuizo', 'valor', 'liquidar', 'meio', 'acordo', 'referenciar', '.']"
Banco Santander,"['prazo', 'entrega', 'cartão', 'visar', 'infinite', 'recebir', 'email', 'informar', 'apenas', '.', 'prazo', 'esgotar', 'entrega', 'ainda', 'fazer', '.', 'cliente', 'criar', 'expectativo', 'mobilizar', 'esperar', 'entrega', '.', 'número', 'rastreio', 'aplicativo', 'preciso', 'entrar', 'contato', 'suporte', 'banco', 'receber', 'código', 'rastreio', 'direcionar', 'interlog', 'serviço', 'privado', 'péssima', 'procedência', 'atrasa', 'entrega', 'péssimo', 'reputação', '.', 'cartão', 'chegar', 'informar', 'caso', 'prazo', 'ultrapassar', 'estipular', 'aplicativo', 'pedir', 'via', '...', 'assim', 'ver', 'primeiro', 'via', 'ainda', 'chegar', 'sinceramente', 'santander', 'péssimo', 'serviço']"
Banco Bradesco,"['equitei', 'dívida', 'bradesco', 'várias', 'empresa', 'mi', 'cobrar', 'entrar', 'em.contato', 'migo', 'con', 'foto', 'bradesco', 'pegueir', 'dívida', 'mandar', 'comprovante', 'tá', 'lar', 'bacer', 'agência', 'presencial', 'tentar', 'resolver', 'atender', 'bem', 'falar', 'resolver', 'causa', 'scr', 'bradesco', 'financiar', 'casa', 'fo', 'cimentação', 'todo', 'ok', 'ainda', 'usar', 'conta', 'bradesco', 'regularizar', 'receber', 'salário', 'favor', 'tir', 'direito', 'casa', 'tentar', 'tudo', 'sair', 'scr', 'dever', 'nada']"
Banco Itaú Unibanco,"['possuir', 'conta', 'corrente', 'agência', 'passar', 'tempo', 'tentar', 'fazer', 'app', 'informar', 'dever', 'procurar', 'agência', 'onde', 'informar', 'dever', 'realizar', 'abertura', 'novo', 'conta', 'outro', 'cancelar', '.', 'ainda', 'constar', 'conta', 'extrato', 'bacen', 'motivo', 'reativar', 'aí', 'concordar', 'abertura', 'novo', 'conta', 'atendente', 'informar', 'tarifa', 'conta', 'questionar', 'sobre', 'pacote', 'serviço', 'essencial', 'informar', 'conta', 'aplicativo', '.', 'embora', 'tentar', 'fazer', 'abertura', 'aplicativo', 'falhar', 'erro', 'pedir', 'comparecer', 'agência', '.', 'voltar', 'agência', 'abertura', 'lá', 'informar', 'discordar', 'tarifa', 'solicitar', 'cancelamento', 'pacote', '.', 'procedimento', 'envelope', 'cartão', 'temporário', 'branco', 'receber', 'dado', 'bancário', 'email', 'agora', 'recebir']"
Banco Itaú Unibanco,"['Banco', 'apontar', 'prejuízo', 'registrato', '.', 'solicito', 'retirada', '.']"
Mercado Pago,"['entrar', 'contato', 'várias', 'linha', 'comunicação', 'realizeir', 'pagamento', 'início', 'acordo', 'nome', 'ainda', 'permanecer', 'restrição', '.', 'verifiquei', 'extrato', 'cartão', 'crédito', 'contar', 'corrente', 'constar', 'cobrança', 'serviço', 'indique', 'serviço', 'cobrar', 'exemplo', 'seguro', 'título', 'capitalização', 'etc', 'valor', 'indique', 'valor', 'cobrança', 'reconhecer', 'solicitei', 'autorizar', 'contratação', '.', 'descrevar', 'contato', 'realizar', 'empresa', 'indicar', 'data', 'horário', 'atendimento', 'receber', 'informe', 'valor', 'contestar', 'pagar']"
Banco Itaú Unibanco,"['venho', 'sofrer', 'constragimento', 'ano', 'saber', 'motivo', 'divida', 'pagar', 'acordo', 'propor', 'cerasa', '.', 'presente', 'momento', 'cpf', 'constar', 'prejuizo', 'banco', 'central']"
Banco Itaú Unibanco,"['sistema', 'banco', 'centralscrconsta', 'valor', 'pendência', 'status', 'prejuízo', 'ha', 'ano', '.']"
Banco Santander,"['fatura', 'setembro', 'r', '.', 'dois', 'pagamento', 'r', 'outro', 'r', '.', 'total', 'pagamento', 'r', '.', 'pagamento', 'sistema', 'banco', 'entender', 'parcelamento', 'nunca', 'intenção', '.', 'contratar', 'nada', 'sentido', '.', 'paguei', 'fatura', 'normalmente', 'seguir', 'vida', 'normal', 'inclusive', 'pagar', 'fatura', 'outubro', 'r', 'normalmente', '.', 'surpresa', 'aparecer', 'fatura', 'outubro', 'suposto', 'parcelamento', 'r', 'reconhecer', '.', 'entrar', 'contato', 'banco', 'informar', 'parcelamento', 'nunca', 'contratar', 'cancelar', '.', 'procedimento', 'fatura', 'vencer', 'novembro', 'vir', 'cobrança', 'r', 'nenhum', 'memória', 'cálculo', 'nenhum', 'referência', 'acerca', 'tratar', '.', 'acabar', 'iniciar', 'relação', 'banco', 'fiquei', 'decepcionar', 'postura', 'atentado', 'pagar', 'fatura', 'dois', 'vez', 'vista', 'outro', 'parcelado', 'níter', 'enriquecimento', 'ilícito', '.']"
Caixa Econômica Federal,"['possuor', 'conta', 'poupanço', 'cef', 'cidade', 'mundo', 'novoba', 'consultar', 'saldo', 'surpreender', 'inexistência', 'fundo', 'depositar', 'conta', 'referir', 'onde', 'anterior', 'quantia', 'dezenove', 'mil', 'real', '.', 'pessoa', 'radicar', 'rs', 'efetuar', 'saque', 'valor', 'diverso', 'esgotar', 'montante', 'depositar', 'poupança', '.', 'desde', 'então', 'enfrentar', 'calvário', 'afã', 'referir', 'instituição', 'financeiro', 'resolvar', 'problema', 'vitimo', '.', 'prazo', 'solicitar', 'atendimento', 'resolutivo', 'findar', 'mês', 'posicionamento', 'instituição', 'quanto', 'devolução', 'valor', 'embora', 'banco', 'obrigar', 'tal', 'ver', 'disposição', 'cdc', 'assim', 'tema', 'stj', '.', 'ofertar', 'mecanismos', 'controle', 'eficaz', 'seguro', 'capaz', 'inibir', 'operação', 'fraudulento', 'responder', 'objetivamente', 'dano', 'causar', 'fraude', 'delito', 'praticar', 'terceiro', 'obrigação', 'bancário', 'maneira', 'solicirto', 'seguir', '...']"
Banco Santander,"['beneficiário', 'inss', 'aposentadoria', 'nb', '.', 'verifiquei', 'extrato', 'empréstimo', 'fazer', 'banco', 'santander', 'ole', 'desconhecer', 'contrato', 'xxx.xxx.xxxxx', 'valor', 'r', 'tentativa', 'contrato', 'valor', 'r', 'contrato', 'valor', 'primeiro', 'reconhecer', 'qualquer', 'contrato', '.', 'segundo', 'qualquer', 'refinanciamento', 'contrato', '.', 'terceiro', 'solicitar', 'envio', 'todo', 'documentação', 'envolver', 'contrato', 'contrato', 'assinar', 'todo', 'portabilidade', 'comprovante', 'pagamento', 'valor', 'emprestar', 'histórico', 'conversa', 'mensagem', 'email', 'ligaçãor', 'carta', 'etc', 'explicar', 'entregar', 'informação', 'sobre', 'crédito', 'consignar', 'histórico', 'dívida', 'todo', 'contrato', '.']"
Nubank,"['dívida', 'r', 'hoje', 'r', 'percebo', 'hà', 'juro', 'acima', 'média', 'Banco', 'central', 'evolução', 'dívida']"
Banco Itaú Unibanco,"['venho', 'meio', 'expressar', 'insatisfação', 'preocupação', 'relação', 'divulgação', 'indevido', 'informação', 'confidencial', 'relacionar', 'dívida', 'junto', 'instituição', 'financeiro', '.', 'constatar', 'dado', 'referente', 'situação', 'financeiro', 'expor', 'terceiro', 'incluir', 'empresa', 'mantenho', 'qualquer', 'relação', 'constituir', 'violação', 'claro', 'sigilo', 'bancário', 'privacidade', 'direito', '.', 'conforme', 'prever', 'lei', 'geral', 'proteção', 'dado', 'pessoal', 'Lei', 'nº', 'bem', 'código', 'defesa', 'consumidor', 'exposição', 'informação', 'financeiro', 'consentimento', 'titular', 'ilegal', 'compromete', 'seriamente', 'privacidade', 'segurança', '.']"
Banco Santander,"['contratar', 'empréstimo', 'consignar', 'valor', 'r', 'vinte', 'sete', 'mil', 'setecento', 'novento', 'desessete', 'centavo', 'parcela', 'r', 'quinhento', 'noventa', 'quatro', 'real', 'colocar', 'seguro', 'solicitar', 'informar', 'sobre', 'pedir', 'contratação', 'valor', 'r', 'mil', 'setecento', 'vinte', 'três', 'real', 'cinco', 'centavo', '.']"
Banco Santander,"['informo', 'contratar', 'parcelamento', 'automático', 'fatura', 'cartão', 'final', 'autorização', 'valor', 'vez', 'totalizar', 'r', 'informo', 'pago', 'parcela', '.']"
Nubank,"['cartão', 'credito', 'instituição', 'deixei', 'pagar', 'fatura', 'periodo', 'contactar', 'instiuição', 'proposta', 'renegociação', 'deixar', 'claro', 'procurar', 'momento', 'nenhum', 'pedir', 'qualquer', 'tipo', 'desconto', 'opu', 'facilidade', 'simplesmemte', 'ofertar', 'proposta', 'renegociação', 'aceitar', 'surpresa', 'banco', 'declarar', 'prejuizo', 'comigo', 'gerar', 'diverso', 'problema', 'negativação', 'ocorrer', 'bacen', 'descrita', 'relatório', 'scr', 'atual', 'anexo', 'reclamação']"
Banco Itaú Unibanco,"['bom', 'tarde', 'poder', 'verificar', 'algum', 'pendência', 'empresa', '.', 'obrigar', 'ficar', 'aguardo', '.']"
Caixa Econômica Federal,"['ola', 'tentar', 'sucesso', 'conseguir', 'liberar', 'fgts']"
Banco Inter (Banco Intermedium),"['três', 'valor', 'descontar', 'conta', 'último', 'mês', 'totalizar', 'aproximadamente', 'real', 'fim', 'pagamento', 'parcial', 'parcela', 'vencido', 'porém', 'valor', 'descontar', 'valor', 'conta', 'chamado', 'aberto', 'dizer', 'canal', 'negociar', 'somente', 'portal', 'onliner', 'constar', 'valor', 'pagar', 'outro', 'expliquar', 'novamente', 'situação', 'atendente', 'dizer', 'encaminhar', 'outro', 'atendente', 'acontecer', 'ha', 'dificuldade', 'conversar', 'banco', 'ver', 'chat', 'conseguir', 'resolver', 'problema', 'único', 'opção', 'ligação', 'horário', 'pré', 'determinar', 'demor', 'tempo', 'demasiado', 'atendir']"
Nubank,"['Banco', 'oferecer', 'desconto', 'quitar', 'dívida', 'quitar', 'nome', 'pro', 'prejuízo', 'Banco', 'central', '.', 'segundo', 'stj', 'lista', 'caráter', 'restritivo', 'crédito', 'caber', 'dano', 'moral', '.']"
Nubank,"['peçar', 'banco', 'responsável', 'retirar', 'nome', 'extrato', 'prejuizo', 'dado', 'bacen']"
Banco Inter (Banco Intermedium),"['conforme', 'explicar', 'atendente', 'realizeir', 'compra', 'serviço', 'ver', 'Internet', 'porém', 'realizeir', 'contestação', 'serviço', 'entregar', 'conforme', 'combinar', 'data', 'crédito', 'estornar', 'fatura', '.', 'entretanto', 'empresa', 'juntar', 'conversa', 'whatsapp', 'contratação', 'serviço', 'dizer', 'esforço', 'tempo', 'empregar', 'porém', 'serviço', 'finalizar', 'serviço', 'logo', 'ficar', 'conforme', 'solicitação', '.', 'diante', 'resposta', 'empresa', 'valor', 'reincluir', 'fatura', 'pagamento', '.', 'entrar', 'contato', 'empresa', 'data', 'ontem', 'empresa', 'informar', 'serviço', 'cancelar', 'quiser', 'contratação', 'serviço', 'pagar', 'novamente', '.', 'diante', 'exposto', 'juntaser', 'resposta', 'data', 'ontem', 'empresa', 'dizer', 'serviço', 'cancelado', 'pedido', 'fazer', 'novo', 'contestação', '.', 'serviço', 'cancelar', 'próprio', 'empresa', 'injustar', 'pagamento', 'valor', 'incluso', 'fatura', '.', 'data', 'pagamento', 'fatura', 'previsto', '.', 'conversar', 'diversos', 'vez', 'banco', 'inter', 'porém', 'diverso', 'chamar', 'protocolo', 'nº', 'empresa', 'retornar', 'chamar', 'protocolo', 'consultar', 'aparecer', 'nada', 'sobre', 'solicitação', '.']"
Banco do Brasil,"['Pedro', 'spontar', 'neto', 'inscrito', 'cpf', 'sob', 'nº', 'xxx.xxx.xxxxx', 'venho', 'respeitosamente', 'solicitar', 'exclusão', 'nome', 'classificação', 'prejuízo', 'sistema', 'registrato', 'conforme', 'apontar', 'consulta', 'registrato', '.', 'informo', 'dívida', 'referente', 'contrato', 'anteriormente', 'banco', 'Brasil', 'devidamente', 'liquidar', 'conforme', 'comprovante', 'pagamento', 'anexo', '.', 'diante', 'exposto', 'solicito', 'tomar', 'providência', 'necessário', 'regularização', 'situação', 'cadastral', 'junto', 'registrato', 'outro', 'órgão', 'pertinente', 'vez', 'pendência', 'financeiro', '.', 'agradeço', 'antecipadamente', 'atenção', 'fico', 'disposição', 'fornecer', 'qualquer', 'documentação', 'adicional', 'esclarecimento', 'façam', 'necessário', '.']"
Banco Santander,"['quitar', 'nome', 'ainda', 'scr']"
Banco Santander,"['solicitei', 'empréstimo', 'debitar', 'dois', 'cujo', 'mensalidade', '.', 'valo', 'empréstimo', 'grande', 'outro', 'r', 'mensal', 'aproximadamente', 'valo', 'aproximar', 'r', 'reconheçar', 'existir', 'crédito', 'conta', 'banco', 'santander', 'cc', 'poder', 'verificar', '.', 'demor', 'algum', 'consignado', 'reconhecer', 'dois', '.']"
Banco do Brasil,"['discordo', 'cobrança', 'anuidade', 'cartão', 'ourocard', 'visar', 'gold', 'solicitar', 'isenção', 'cancelar', 'cartão', '.']"
Banco Santander,"['querer', 'remover', 'nome', 'spc', 'serasa', '.']"
Banco Inter (Banco Intermedium),"['prezar', 'banco', 'inter', 'tudo', 'fazer', 'passar', 'conseguir', 'portabilidade', 'direito', 'agora', 'agir', 'má', 'fé', 'desaverbar', 'contrato', 'empréstimo', 'consignar', 'portar', 'pagar', 'caixa', 'econômico', 'federal', 'conforme', 'molde', 'requisição', 'portabilidade', 'realizar', 'sistema', 'febraban', '.', 'pagamento', 'referente', 'saldo', 'devedor', 'realizar', 'instituição', 'proponente', 'ontem', 'banco', 'inter', 'valor', 'referente', 'contrato', 'empréstimo', 'consignar', 'liquidar', 'hoje', 'conforme', 'informar', 'inclusive', 'ligação', 'central', 'atendimento', 'registrar', 'sob', 'protocolo', 'nº', '.', 'próprio', 'atendente', 'setor', 'crédito', 'informar', 'liquidação', 'saldo', 'devedor', 'processar', 'banco', 'inter', 'ainda', 'assim', 'margem', 'continuar', 'retido', 'consignação', 'ativo', 'siape', 'conforme', 'demostro', 'imagem', 'anexo', '.', 'além', 'apesar', 'liquidação', 'efetivar', 'banco', 'inter', 'ainda', 'encerrar', 'contrato', 'empréstimo', 'consignar', 'possível', 'visualizar', 'imagem', 'retirar', 'próprio', 'sistema', 'if', 'Caixa', 'Econômica', 'Federal', 'anexo', '.', 'encontrar', 'resolução', 'cmn', 'regulamentar', 'tipo', 'operação', 'financeiro', 'respaldo', 'legal', 'banco', 'credor', 'manter', 'consignação', 'ativo', 'liquidação', 'saldo', 'devedor', 'instituição', 'proponente', '.', 'vez', 'venho', 'recorrer', 'procon', 'fim', 'solicitar', 'explicação', 'principalmente', 'providência', 'banco', 'inter', 'encerrer', 'contrato', 'empréstimo', 'consignar', 'desabervar', 'margem', 'siape', '.']"
Caixa Econômica Federal,"['mês', 'entrar', 'aplicativo', 'caixar', 'cartão', 'acordo', 'divido', 'cartão', 'crédito', 'caixa', 'paguei', 'acordo', 'á', 'vista', '.', 'porém', 'tentar', 'financiamento', 'caixa', 'constar', 'prejuízo', 'banco', '.', 'valor', 'pagar', 'r', '.']"
Banco Bradesco,"['possuor', 'conta', 'juridico', 'cnpj', 'ocorrer', 'abertura', 'conta', 'nao', 'informar', 'sobre', 'qualquer', 'cobraça', 'tarifa', '.', 'assim', 'mes', 'outubro', 'recebi', 'cobrança', 'tarifa', 'valor', 'r', 'dicordo', 'avisar', 'excessivamente', 'oneroso', 'ainda', 'contraprestação', 'banco', 'limite', 'crédito', 'cartão', 'conta', 'nenhum', 'beneficio', '.', 'assim', 'achar', 'oneroso', 'abusivo', 'ferir', 'principio', 'direito', 'consumidor', 'conhecimento', 'tal', 'tarifa', 'digase', 'absurdo', '..']"
Nubank,"['negativação', 'antigo', 'src', 'respeitar', 'parcelamento', 'atual']"
Banco do Brasil,"['venho', 'meio', 'solicitar', 'retirada', 'nome', 'lista', 'negro', 'Banco', 'central', 'ver', 'negociação', 'vigente', 'pagamento', 'acordo', 'realizar', '.']"
Banco Bradesco,"['realizar', 'acordo', 'site', 'negociação', 'banco', 'bradesco', 'pagar', 'dentro', 'prazo', 'validade', 'boleto', 'porém', 'presente', 'momento', 'retirar', 'nome', 'devedor', 'leandro', 'antune', 'araujo', 'serviço', 'análise', 'crédito', 'spc', 'serasa', '.', 'passar', 'semana', 'dirigi', 'agência', 'possuo', 'contar', 'relatar', 'ocorrer', 'solicitar', 'providência', 'remoção', 'pendência', 'financeiro', 'sistema', '.', 'gerente', 'conta', 'orientar', 'esperar', 'logo', 'solucionar', 'problema', '.', 'esperar', 'mês', 'nada', 'retornar', 'agência', 'dizer', 'proferir', 'cumprimento', 'dizer', '.', 'longo', 'espera', 'resposta', 'primeiro', 'instância', 'atendimento', 'bradesco', 'comuniquei', 'Banco', 'central', 'ocorrer', 'conjunto', 'reclamação', 'reclameaqui', 'igual', 'teor']"
Banco Bradesco,"['juro', 'abusivo', 'preciso', 'limper', 'nome', 'spc']"
Banco Bradesco,"['solicitar', 'emprestimo', 'junto', 'banco', 'bradesco', 'porém', 'cópia', 'contrato', 'nunca', 'disponibilizar', 'poder', 'analisar', 'taxa', 'juro', 'parcela', '.']"
Banco Itaú Unibanco,"['constar', 'prejuízo', 'conforme', 'constar', 'relatório']"
Nubank,"['bom', 'tarde', 'vitimo', 'golpe', 'falso', 'central', 'atendimento', 'fazer', 'pedir', 'contestação', 'estorno', 'valor', 'nada', 'fazer', 'nome', 'inserir', 'serasa', 'divida', 'cartão', 'credito', 'aumentar', 'devido', 'juro', 'abusivo', 'além', 'empréstimo', 'fazer', 'forma', 'fraudulento', '.']"
Banco Santander,"['solicitar', 'exclusão', 'cadastro', 'negativação', '.']"
Caixa Econômica Federal,"['contrato', 'fies', 'negativação', 'cadin', 'pagamento', 'agencia', 'solucionar', '.']"
Banco Bradesco,"['cobrança', 'financiamento', 'cartão', 'credito', 'outro', 'desconhecida']"
Banco Santander,"['solicitar', 'emprestimo', 'junto', 'banco', 'santander', 'porém', 'cópia', 'contrato', 'nunca', 'disponibilizar', 'poder', 'analisar', 'taxa', 'juro', 'parcela', '.']"
Nubank,"['prezar', 'conforme', 'resolução', 'nº', 'março', 'capítulo', 'iv', 'solicitar', 'definitivamente', 'cancelar', 'todo', 'qualquer', 'autorização', 'desconto', 'automático', 'conta', 'qualquer', 'natureza', 'salário', 'corrente', 'poupança', '.', 'capítulo', 'iv', 'cancelamento', 'autorização', 'débito', 'art', '.', 'assegurar', 'titular', 'conta', 'direito', 'cancelar', 'autorização', 'débito', '.', 'parágrafo', 'único', '.', 'cancelamento', 'autorização', 'débito', 'conta', 'poder', 'formalizar', 'instituição', 'depositário', 'meio', 'instituição', 'destinatário', '.', 'evitar', 'grande', 'transtorno', 'conflito', 'resolução', 'reforço', 'antes', 'vigência', 'resolução', 'Tínhamos', 'pleno', 'efeito', 'resolução', 'inclusive', 'servir', 'base', 'resolução', 'ano', 'resolução', 'bacen', 'nº', 'art', '.', 'vedar', 'instituição', 'financeiro', 'realização', 'débito', 'conta', 'depósito', 'prévio', 'autorização', 'cliente', '.', 'autorização', 'referir', 'caput', 'dever', 'fornecir', 'escrito', 'meio', 'eletrônico', 'estipulação', 'prazo', 'validade', 'poder', 'indeterminar', 'admitir', 'previsão', 'próprio', 'instrumento', 'contratual', 'abertura', 'conta', 'depósito', '.', 'cancelamento', 'autorização', 'referir', 'caput', 'dever', 'surtir', 'efeito', 'partir', 'data', 'definir', 'cliente', 'falta', 'partir', 'data', 'recebimento', 'instituição', 'financeiro', 'pedido', 'pertinente', 'forma', 'desde', 'resolução', 'Banco', 'central', 'Brasil', 'autorizar', 'cancelamento', 'débito', 'automático', 'conta', '.', 'portanto', 'reforço', 'antes', 'qualquer', 'negativa', 'senhor', 'avaliar', 'remetar', 'pedido', 'área', 'alto', 'banco', 'reforço', 'pedido', 'solicito', 'cancelamento', 'todo', 'débito', 'automático', 'realizar', 'conta', 'corrente', 'salário', 'poupançar', 'referente', 'contrato', 'firmar', 'ano', '.', 'solicitar', 'meio', 'requerimento', 'todo', 'contrato', 'característica', 'crédito', 'direto', 'consumidor', 'consignação', 'folha', 'pagamento', 'autorização', 'débito', 'conta', 'cancelada', 'partir', 'próximo', 'parcela', 'direito', 'pagar', 'referida', 'parcêl', 'via', 'boleto', 'bancário', 'diretamente', 'boca', 'caixa', 'qualquer', 'agência', 'instituição', '.', 'conhecimento', 'apesar', 'incontável', 'decisão', 'judicial', 'garantir', 'direito', 'consumidor', 'banco', 'negar', 'tal', 'solicitação', 'então', 'querer', 'reforçar', 'pleno', 'conhecimento', 'existência', 'resolução', 'n.º', 'bacen', 'resolução', 'nº', 'qualquer', 'tempo', 'poder', 'cancelar', 'solicitação', 'anterior', 'autorização', 'débito', 'conta', '.', 'reforço', 'ciente', 'existência', 'código', 'defesa', 'consumidor', 'inciso', 'iv', 'artigo', 'cdc', 'dispor', 'nula', 'pleno', 'direito', 'cláusula', 'contratual', 'relativo', 'fornecimento', 'produto', 'serviço', 'estabeleçar', 'obrigação', 'considerar', 'iníquo', 'abusivo', 'colocar', 'consumidor', 'desvantagem', 'exagerar', 'incompatível', 'boafé']"
Banco do Brasil,"['prezar', 'conforme', 'resolução', 'nº', 'março', 'capítulo', 'iv', 'solicitar', 'definitivamente', 'cancelar', 'todo', 'qualquer', 'autorização', 'desconto', 'automático', 'conta', 'qualquer', 'natureza', 'salário', 'corrente', 'poupança', '.', 'capítulo', 'iv', 'cancelamento', 'autorização', 'débito', 'art', '.', 'assegurar', 'titular', 'conta', 'direito', 'cancelar', 'autorização', 'débito', '.', 'parágrafo', 'único', '.', 'cancelamento', 'autorização', 'débito', 'conta', 'poder', 'formalizar', 'instituição', 'depositário', 'meio', 'instituição', 'destinatário', '.', 'evitar', 'grande', 'transtorno', 'conflito', 'resolução', 'reforço', 'antes', 'vigência', 'resolução', 'Tínhamos', 'pleno', 'efeito', 'resolução', 'inclusive', 'servir', 'base', 'resolução', 'ano', 'resolução', 'bacen', 'nº', 'art', '.', 'vedar', 'instituição', 'financeiro', 'realização', 'débito', 'conta', 'depósito', 'prévio', 'autorização', 'cliente', '.', 'autorização', 'referir', 'caput', 'dever', 'fornecir', 'escrito', 'meio', 'eletrônico', 'estipulação', 'prazo', 'validade', 'poder', 'indeterminar', 'admitir', 'previsão', 'próprio', 'instrumento', 'contratual', 'abertura', 'conta', 'depósito', '.', 'cancelamento', 'autorização', 'referir', 'caput', 'dever', 'surtir', 'efeito', 'partir', 'data', 'definir', 'cliente', 'falta', 'partir', 'data', 'recebimento', 'instituição', 'financeiro', 'pedido', 'pertinente', 'forma', 'desde', 'resolução', 'Banco', 'central', 'Brasil', 'autorizar', 'cancelamento', 'débito', 'automático', 'conta', '.', 'portanto', 'reforço', 'antes', 'qualquer', 'negativa', 'senhor', 'avaliar', 'remetar', 'pedido', 'área', 'alto', 'banco', 'reforço', 'pedido', 'solicito', 'cancelamento', 'todo', 'débito', 'automático', 'realizar', 'conta', 'corrente', 'salário', 'poupançar', 'referente', 'contrato', 'firmar', 'ano', '.', 'solicitar', 'meio', 'requerimento', 'todo', 'contrato', 'característica', 'crédito', 'direto', 'consumidor', 'consignação', 'folha', 'pagamento', 'autorização', 'débito', 'conta', 'cancelada', 'partir', 'próximo', 'parcela', 'direito', 'pagar', 'referida', 'parcêl', 'via', 'boleto', 'bancário', 'diretamente', 'boca', 'caixa', 'qualquer', 'agência', 'instituição', '.', 'conhecimento', 'apesar', 'incontável', 'decisão', 'judicial', 'garantir', 'direito', 'consumidor', 'banco', 'negar', 'tal', 'solicitação', 'então', 'querer', 'reforçar', 'pleno', 'conhecimento', 'existência', 'resolução', 'n.º', 'bacen', 'resolução', 'nº', 'qualquer', 'tempo', 'poder', 'cancelar', 'solicitação', 'anterior', 'autorização', 'débito', 'conta', '.']"
Banco Inter (Banco Intermedium),"['Prezadoa', 'solicitar', 'entr', 'contato', 'quanto', 'antes', 'solucionar', 'pendência', 'dispor', 'cópia', 'contrato', 'empréstimo', 'pessoal', 'realizar', 'empresa', '.', 'ressalto', 'enviar', 'todo', 'documentação', 'pertinente', 'aguardo', 'providência', 'necessário', '.', 'grato', 'atenção', 'aguardo', 'retorno', '.']"
Caixa Econômica Federal,"['pagamento', 'concluir', 'data', '.', 'confirmação', 'acordo', 'pagar', 'nome', 'retirar', 'restrição', 'bacen', 'scr']"
Banco Santander,"['querer', 'reclamação', 'sobre', 'exclusão', 'nome', '.', 'correntista', 'Banco', 'santander', 'contar', 'nenhum', 'debito']"
